NISN,NIS,NAMA,ID_KELAS,ID_SPP,ALAMAT,NO_TELP,TEMPO
1000000001,1,ABDULAHYUSUF,,1,Jl. Veteran. 123,899580774,45794
1000000002,2,ACHMAD FATICH HAZAMI,,1,Jln. Veteran 123,899580774,45794
1000000003,3,ACHMADNAUFAL AZIZ,,1,Jln. Veteran 123,874241575,45794
1000000004,4,ADITYA ESYA PRATAMA,,1,Jln. Veteran 123,858557285,45794
1000000005,5,AISHA DIAN KARTIKA,,1,Jln. Veteran 123,835685642,45794
1000000006,6,ALFIN AHSANU ROMADHONI,,1,Jln. Veteran 123,851328339,45794
1000000007,7,ARGYA RAJASWA FIRJATULLAH,,1,Jln. Veteran 123,834993258,45794
1000000008,8,ARRIDHO RENO SAPUTRA,,1,Jln. Veteran 123,832023033,45794
1000000009,9,CHERIL VEBRI ANINDI,,1,Jln. Veteran 123,857869802,45794
1000000010,10,DERIL VENO AMANULLAH,,1,Jln. Veteran 123,850094968,45794
1000000011,11,DIMASARY PRAYOGA,,1,Jln. Veteran 123,877183076,45794
1000000012,12,ELINDA OKTAHIVAFITRIANI,,1,Jln. Veteran 123,891488951,45794
1000000013,13,FA'IQMAULANA ALWAN,,1,Jln. Veteran 123,881135964,45794
1000000014,14,FIKRI PUTRAMAHARGA,,1,Jln. Veteran 123,873935510,45794
1000000015,15,LIAWAROKAH,,1,Jln. Veteran 123,855593728,45794
1000000016,16,LILIS SETIAWATI,,1,Jln. Veteran 123,859571461,45794
1000000017,17,LUTHFIYAH APTA INDRIATI,,1,Jln. Veteran 123,854350850,45794
1000000018,18,MOCHAMAD CHAHARUDIN LUBIS,,1,Jln. Veteran 123,883393667,45794
1000000019,19,MOH.AFIF MUZHAQI,,1,Jln. Veteran 123,850456904,45794
1000000020,20,MOHAMAD RIZKY ALIF ZUWANA,,1,Jln. Veteran 123,811893854,45794
1000000021,21,TANPA NAMA,,1,Jln. Veteran 123,890644235,45794
1000000022,22,MUHAMMADILHAM,,1,Jln. Veteran 123,841881908,45794
1000000023,23,MUHAMMAD MAULANA ASY'ARI,,1,Jln. Veteran 123,887194868,45794
1000000024,24,MUKHAMMAD'IFAT AL FIKRI,,1,Jln. Veteran 123,849773757,45794
1000000025,25,NAFF'A RIDO DIRANDA,,1,Jln. Veteran 123,805774913,45794
1000000026,26,NURULAZMIL NASYIFA,,1,Jln. Veteran 123,816024601,45794
1000000027,27,RAKA ADITYA RAMADHANI,,1,Jln. Veteran 123,872389743,45794
1000000028,28,REGIEVIA VELINA MAHARANI,,1,Jln. Veteran 123,890403194,45794
1000000029,29,REVALINA AZKA ARLIYANTI,,1,Jln. Veteran 123,885075118,45794
1000000030,30,SCATZHIANGGUN PUTRI KUMALA,,1,Jln. Veteran 123,808176697,45794
1000000031,31,SLAMET RISKI HARDIYANTO,,1,Jln. Veteran 123,853100079,45794
1000000032,32,STEVEN BRYAN ALEXANDER,,1,Jln. Veteran 123,871363998,45794
1000000033,33,WHIKU ADJI HIBATULLAH,,1,Jln. Veteran 123,836681487,45794
1000000034,34,ZACKY AKBAR RAMADHAN,,1,Jln. Veteran 123,854068841,45794
